full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,college
Rui Hachimura,74,#8,Washington Wizards,F,02/08/98,6-8 / 2.03,225 lbs. / 102.1 kg.,$4469160,Japan,2019,1,Gonzaga
OG Anunoby,73,#3,Toronto Raptors,F-G,07/17/97,6-7 / 2.01,232 lbs. / 105.2 kg.,$2281800,United Kingdom,2017,1,Indiana
Dwayne Bacon,73,#7,Charlotte Hornets,G,08/30/95,6-6 / 1.98,220 lbs. / 99.8 kg.,$1618520,USA,2017,2,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,07/04/94,6-5 / 1.96,207 lbs. / 93.9 kg.,$2603981,USA,2016,1,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,01/02/96,6-8 / 2.03,215 lbs. / 97.5 kg.,$1788296,Australia,2017,2,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,02/10/95,6-5 / 1.96,230 lbs. / 104.3 kg.,$1618520,USA,2017,2,SMU
Bruce Brown,73,#6,Detroit Pistons,G,08/15/96,6-4 / 1.93,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,Miami (Florida)
Troy Brown,73,#6,Washington Wizards,F-G,07/28/99,6-6 / 1.98,215 lbs. / 97.5 kg.,$3219480,USA,2018,1,Oregon
Alec Burks,73,#0,Philadelphia 76ers,G,07/20/91,6-6 / 1.98,195 lbs. / 88.5 kg.,$2320044,USA,2011,1,Colorado
Alex Caruso,73,#4,Los Angeles Lakers,G,02/28/94,6-5 / 1.96,186 lbs. / 84.4 kg.,$2750000,USA,2016,Undrafted,Texas A&M
Tyson Chandler,73,#19,Houston Rockets,C,10/02/82,7-0 / 2.13,235 lbs. / 106.6 kg.,$2564753,USA,2001,1,
Allen Crabbe,73,#0,,G-F,04/09/92,6-5 / 1.96,197 lbs. / 89.4 kg.,$17818456,USA,2013,2,California
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,09/08/90,6-3 / 1.91,190 lbs. / 86.2 kg.,$9607500,Australia,2013,Undrafted,Saint Mary's
James Ennis,73,#0,Orlando Magic,F,07/01/90,6-6 / 1.98,201 lbs. / 91.2 kg.,$1882867,USA,2013,2,Long Beach State
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,05/04/93,6-7 / 2.01,213 lbs. / 96.6 kg.,$4000000,USA,2016,Undrafted,Florida
Shaquille Harrison,73,#3,Chicago Bulls,G,10/06/93,6-7 / 2.01,190 lbs. / 86.2 kg.,$1620564,USA,2016,Undrafted,Tulsa
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/96,6-0 / 1.83,185 lbs. / 83.9 kg.,$2239200,USA,2018,1,UCLA
Danuel House,73,#4,Houston Rockets,F,06/07/93,6-6 / 1.98,220 lbs. / 99.8 kg.,$3540000,USA,2016,Undrafted,Texas A&M
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/96,6-6 / 1.98,242 lbs. / 109.8 kg.,$3623000,USA,2015,1,Arizona
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/96,6-0 / 1.83,185 lbs. / 83.9 kg.,$10116000,USA,2015,1,Duke
