Unnamed: 0,address,area,sqm,rooms,broker,monthly_fee,price_sold,date_sold,price_pct_change,street_id,street_name,city
0,"Gamla Brogatan 25, 2tr","Vasastan - City/Norrmalm,",114 sqm,"3,5",Fastighetsbyrån Stockholm - Vasastan,6769.0,7600000kr,Såld 13 april 2018,-5,475079,Gamla Brogatan,Stockholms kommun
1,"Gamla Brogatan 25, 2 tr","Vasastan- City/ Norrmalm,",71 sqm,2,Mäklarhuset Stockholm Innerstan,4696.0,5050000kr,Såld 23 juni 2016,4,475079,Gamla Brogatan,Stockholms kommun
2,Gamla Brogatan 25,"Vasastan- City/ Norrmalm,",102 sqm,4,Mäklarhuset Stockholm Innerstan,6519.0,6950000kr,Såld 29 april 2016,1,475079,Gamla Brogatan,Stockholms kommun
3,"Gamla Brogatan 25, 2tr","Vasastan - City/Norrmalm,",107 sqm,4,Fastighetsbyrån Stockholm - Vasastan,6713.0,7150000kr,Såld 26 november 2015,2,475079,Gamla Brogatan,Stockholms kommun
4,"Drottninggatan 114 A, 3 tr","Vasastan - Norrmalm,",90 sqm,3,Bostadsrättsspecialisten,3822.0,8900000kr,Såld 13 augusti 2020,0,475084,Drottninggatan,Stockholms kommun
5,"Drottninggatan 102B, 3 tr ÖG","Vasastan,",56 sqm,2,Svensk Fastighetsförmedling Sthlm Vasastan,2787.0,5650000kr,Såld  5 augusti 2020,9,475084,Drottninggatan,Stockholms kommun
6,Drottninggatan 73A,"Vasastan / city,",36 sqm,1,Nomad Mäkleri,712.0,4000000kr,Såld  4 juli 2020,14,475084,Drottninggatan,Stockholms kommun
7,"Drottninggatan 101, 2tr","Vasastan/Norrmalm/City,",46 sqm,2,Notar,460.0,4375000kr,Såld 27 maj 2020,15,475084,Drottninggatan,Stockholms kommun
8,Drottninggatan 101,"Vasastan,","71,5 sqm",2,Bjurfors Vasastan Kungsholmen,1740.0,5745000kr,Såld 23 april 2020,5,475084,Drottninggatan,Stockholms kommun
9,Drottninggatan 81 B,"Norrmalm,",45 sqm,1,Mäklarhuset Stockholm Innerstan,1362.0,3900000kr,Såld 11 januari 2020,-2,475084,Drottninggatan,Stockholms kommun
10,Drottninggatan 114A,"Vasastan/Norrmalm,",65 sqm,2,Innerstadsspecialisten S AB,2840.0,6100000kr,Såld 11 december 2019,3,475084,Drottninggatan,Stockholms kommun
11,"Drottninggatan 114 A, 2 tr","Vasastan,",66 sqm,2,Historiska Hem,2880.0,6450000kr,Såld 27 november 2019,8,475084,Drottninggatan,Stockholms kommun
12,Drottninggatan 73A,"Vasastan/ Norrmalm,",93 sqm,3,Alicia Edelman Fastighetsmäkleri,1517.0,9500000kr,Såld 22 november 2019,0,475084,Drottninggatan,Stockholms kommun
13,Drottninggatan 73A,"Norrmalm,",92 sqm,3,Skeppsholmen Sotheby's International Realty,1567.0,9500000kr,Såld 17 november 2019,-5,475084,Drottninggatan,Stockholms kommun
14,Drottninggatan 102A,"Vasastan - Norrmalm,",154 sqm,6,Bjurfors Vasastan Kungsholmen,4765.0,15400000kr,Såld 13 november 2019,-7,475084,Drottninggatan,Stockholms kommun
15,Drottninggatan 101,"Vasastan,",115 sqm,4,Alexander White,2223.0,10500000kr,Såld 12 november 2019,11,475084,Drottninggatan,Stockholms kommun
16,Drottninggatan 73A,"Norrmalm,",57 sqm,2,Alexander White,1014.0,5725000kr,Såld  8 november 2019,8,475084,Drottninggatan,Stockholms kommun
17,Drottninggatan 101,"Vasastan/Norrmalm,","46,5 sqm",2,Erik Olsson Fastighetsförmedling,1257.0,4150000kr,Såld 27 september 2019,19,475084,Drottninggatan,Stockholms kommun
18,"Drottninggatan 81B, 1tr","City / Norrmalm,",49 sqm,"1,5",BOSTHLM Fastighetsmäklare AB,1483.0,4600000kr,Såld 20 september 2019,0,475084,Drottninggatan,Stockholms kommun
19,Drottninggatan 101,"City,","71,5 sqm",2,Erik Olsson Fastighetsförmedling,1400.0,6480000kr,Såld 18 september 2019,8,475084,Drottninggatan,Stockholms kommun
20,"Drottninggatan 80, 3tr","Vasastan,",99 sqm,4,Innerstadsspecialisten S AB,3630.0,8600000kr,Såld 30 augusti 2019,8,475084,Drottninggatan,Stockholms kommun
21,Drottninggatan 81B,"Vasastan,",33 sqm,1,Edward & Partners Fastighetsmäklare AB,998.0,4000000kr,Såld 26 juli 2019,14,475084,Drottninggatan,Stockholms kommun
22,"Drottninggatan 73A, 4 tr.",,36 sqm,1,Svensk Fastighetsförmedling Sthlm Vasastan,712.0,3650000kr,Såld 19 juni 2019,14,475084,Drottninggatan,Stockholms kommun
23,"Drottninggatan 73A, 3 tr","Norrmalm,",35 sqm,1,Mäklarhuset Stockholm Innerstan,697.0,3630000kr,Såld 30 april 2019,32,475084,Drottninggatan,Stockholms kommun
24,"Drottninggatan 80, 3 tr","City / Norrmalm,",114 sqm,3,Vision Mäkleri AB,4138.0,9600000kr,Såld  9 april 2019,20,475084,Drottninggatan,Stockholms kommun
25,Drottninggatan 88 F  /  Holländargatan 9 A,"City/Norrmalm - Vasastan,",70 sqm,"3,5",WestEast,3928.0,7425000kr,Såld 21 mars 2019,10,475084,Drottninggatan,Stockholms kommun
26,"Drottninggatan 90B, 3tr","Vasastan - City/Norrmalm,",70 sqm,2,Fastighetsbyrån Stockholm - Vasastan,719.0,6230000kr,Såld 23 februari 2019,5,475084,Drottninggatan,Stockholms kommun
27,"Drottninggatan 112C, 3tr.","Vasastan - City/Norrmalm,",36 sqm,1,Fastighetsbyrån Stockholm - Vasastan,1407.0,3725000kr,Såld 30 januari 2019,17,475084,Drottninggatan,Stockholms kommun
28,Drottninggatan 110B,"Vasastan,",67 sqm,2,Edward & Partners Fastighetsmäklare AB,1804.0,6025000kr,Såld 20 december 2018,4,475084,Drottninggatan,Stockholms kommun
29,Drottninggatan 102B,"Norrmalm City,",83 sqm,3,Le Grand Propriété,3588.0,6985000kr,Såld 22 november 2018,-7,475084,Drottninggatan,Stockholms kommun
30,Drottninggatan 102 C,"City/Norrmalm/Vasastan,",119 sqm,3,Mäklarhuset Stockholm Innerstan,5921.0,6700000kr,Såld 22 oktober 2018,-1,475084,Drottninggatan,Stockholms kommun
31,Drottninggatan 102A,"Norrmalm/City,",124 sqm,3,Edward & Partners Fastighetsmäklare AB,4352.0,13500000kr,Såld 10 oktober 2018,4,475084,Drottninggatan,Stockholms kommun
32,Drottninggatan 110 B,"Norrmalm/City/Vasastan,",91 sqm,"3,5",Edward & Partners Fastighetsmäklare AB,2481.0,8600000kr,Såld 22 september 2018,8,475084,Drottninggatan,Stockholms kommun
33,"Drottninggatan 90 B, 2 tr","City Norrmalm Vasastan,",70 sqm,2,HusmanHagberg Vasastan,692.0,5600000kr,Såld 28 augusti 2018,2,475084,Drottninggatan,Stockholms kommun
34,Drottninggatan 73 A,"Norrmalm,",29 sqm,1,Bjurfors Östermalm/Lidingö,611.0,3205000kr,Såld  3 maj 2018,9,475084,Drottninggatan,Stockholms kommun
35,"Drottninggatan 73C, 2tr","Vasastan - Norrmalm,",101 sqm,3,Svenskt Mäklarcentrum AB,673.0,9450000kr,Såld 22 mars 2018,0,475084,Drottninggatan,Stockholms kommun
36,"Drottninggatan 102, 2 tr ö.g","City/Norrmalm/Vasastan,",52 sqm,2,Mäklarhuset Stockholm Innerstan,2438.0,4930000kr,Såld  8 februari 2018,10,475084,Drottninggatan,Stockholms kommun
37,"Drottninggatan 81 B, 2 tr","Vasastan,",42 sqm,2,Erik Olsson Fastighetsförmedling,1249.0,4000000kr,Såld 29 januari 2018,0,475084,Drottninggatan,Stockholms kommun
38,"Drottninggatan 90 B, 3 tr","Vasastan / Norrmalm,",70 sqm,3,Wendell Mäkleri & Styling,692.0,6100000kr,Såld 30 december 2017,14,475084,Drottninggatan,Stockholms kommun
39,"Drottninggatan 73A, 2tr","Vasastan - Norrmalm,",92 sqm,"3,5",Svenskt Mäklarcentrum AB,1517.0,8800000kr,Såld  6 september 2017,7,475084,Drottninggatan,Stockholms kommun
40,"Drottninggatan 73A, 4 tr",,92 sqm,3,Individa fastighetsmäkleri AB,1567.0,8950000kr,Såld 16 juni 2017,12,475084,Drottninggatan,Stockholms kommun
41,Drottninggatan 81B,"City - Vasastan,",50 sqm,2,Oscars Fastighetsmäkleri KB,1542.0,5725000kr,Såld  8 maj 2017,35,475084,Drottninggatan,Stockholms kommun
42,"Drottninggatan 112C, 2tr","Norrmalm/Vasastan,",65 sqm,2,Edward & Partners Fastighetsmäklare AB,2302.0,6600000kr,Såld 29 april 2017,0,475084,Drottninggatan,Stockholms kommun
43,"Drottninggatan 114A, 5tr","Vasastan,",52 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2406.0,5950000kr,Såld 30 mars 2017,24,475084,Drottninggatan,Stockholms kommun
44,Drottninggatan 73A,"Vasastan,",29 sqm,1,Brokr Fastighetsmäklare,611.0,3280000kr,Såld 21 mars 2017,19,475084,Drottninggatan,Stockholms kommun
45,Drottninggatan 90 B,"Vasastan/Norrmalm,",41 sqm,2,Vasastansmäklarna,440.0,5205000kr,Såld 18 november 2016,49,475084,Drottninggatan,Stockholms kommun
46,"Drottninggatan 102 B, gårdshus","Vasastan- City/ Norrmalm,",60 sqm,"2,5",Mäklarhuset Stockholm Innerstan,2714.0,5700000kr,Såld 28 oktober 2016,14,475084,Drottninggatan,Stockholms kommun
47,"Drottninggatan 81B, 3tr","City / Norrmalm / Vasastan,",55 sqm,2,SkandiaMäklarna Stockholm Vasastan,1757.0,5640000kr,Såld 13 september 2016,34,475084,Drottninggatan,Stockholms kommun
48,Drottninggatan 73A,"Vasastan/Norrmalm,",66 sqm,2,Erik Olsson Fastighetsförmedling,1143.0,7080000kr,Såld 23 augusti 2016,35,475084,Drottninggatan,Stockholms kommun
49,"Drottninggatan 102, 3 tr","Norrmalm/Vasastan,",52 sqm,2,Bostadsrättsspecialisten,2217.0,4875000kr,Såld 12 augusti 2016,5,475084,Drottninggatan,Stockholms kommun
50,"Drottninggatan 114 A, 4,5 tr","Vasastan/Norrmalm/City,",66 sqm,2,Notar,2798.0,6425000kr,Såld 11 augusti 2016,17,475084,Drottninggatan,Stockholms kommun
51,"Drottninggatan 73A, 4tr","Vasastan - City/Norrmalm,",92 sqm,3,Fastighetsbyrån Stockholm - Vasastan,1567.0,7795000kr,Såld 11 juli 2016,0,475084,Drottninggatan,Stockholms kommun
52,"Drottninggatan 73C, 4 tr","Norrmalm,",141 sqm,4,Individa fastighetsmäkleri AB,940.0,13000000kr,Såld  3 juni 2016,0,475084,Drottninggatan,Stockholms kommun
53,"Drottninggatan 112 B, 1tr","City Norrmalm Vasastan,",58 sqm,2,HusmanHagberg Vasastan,1790.0,4600000kr,Såld  4 maj 2016,19,475084,Drottninggatan,Stockholms kommun
54,"Drottninggatan 90B, 3tr","Vasastan - Norrmalm,",70 sqm,3,Svenskt Mäklarcentrum AB,692.0,6100000kr,Såld 29 april 2016,2,475084,Drottninggatan,Stockholms kommun
55,"Drottninggatan 80, 5tr","Vasastan - City/Norrmalm,",89 sqm,4,Fastighetsbyrån Stockholm - Vasastan,3694.0,8600000kr,Såld 20 februari 2016,-4,475084,Drottninggatan,Stockholms kommun
56,"Drottninggatan 81B, 2tr","Vasastan,",42 sqm,1,ELIASES STHLM,1249.0,3650000kr,Såld 13 januari 2016,4,475084,Drottninggatan,Stockholms kommun
57,"Drottninggatan 73E, 4 tr.","Vasastan/Norrmalm/City,",53 sqm,2,Notar,353.0,5150000kr,Såld 15 oktober 2015,15,475084,Drottninggatan,Stockholms kommun
58,"Drottninggatan 73A, 1 tr","Vasastan/City,",29 sqm,1,Notar,611.0,3100000kr,Såld 30 september 2015,30,475084,Drottninggatan,Stockholms kommun
59,"Drottninggatan 88 F, 7 tr","Vasastan,",85 sqm,3,Svensk Fastighetsförmedling,4714.0,9150000kr,Såld  2 september 2015,35,475084,Drottninggatan,Stockholms kommun
60,"Drottninggatan 73 C, 4 tr","City/Norrmalm,",86 sqm,3,Svensk Fastighetsförmedling,573.0,5900000kr,Såld 24 augusti 2015,-1,475084,Drottninggatan,Stockholms kommun
61,"Drottninggatan 101, 5tr","Vasastan,","116,8 sqm",4,SkandiaMäklarna Stockholm Vasastan,2536.0,10085000kr,Såld  2 juni 2015,13,475084,Drottninggatan,Stockholms kommun
62,Drottninggatan 90A,"Vasastan - City/Norrmalm,",45 sqm,"1,5",Fastighetsbyrån Stockholm - Vasastan,475.0,5000000kr,Såld  5 maj 2015,30,475084,Drottninggatan,Stockholms kommun
63,"Drottninggatan 112 C, 3tr.","Vasastan - City/Norrmalm,",36 sqm,1,Fastighetsbyrån Stockholm - Vasastan,1407.0,3310000kr,Såld  4 maj 2015,23,475084,Drottninggatan,Stockholms kommun
64,"Drottninggatan 73A, 3tr","Stockholm/city,",29 sqm,1,Mäklarhuset Stockholm Innerstan,618.0,3400000kr,Såld  1 april 2015,31,475084,Drottninggatan,Stockholms kommun
65,"Drottninggatan 112 A, 2 tr","Vasastan/Norrmalm,",127 sqm,4,Länsförsäkringar Fastighetsförmedling Stockholm - Vasastan,4422.0,9350000kr,Såld 24 februari 2015,-2,475084,Drottninggatan,Stockholms kommun
66,"Drottninggatan 112C, 2tr","Vasastan/Norrmalm,",65 sqm,2,Länsförsäkringar Fastighetsförmedling Stockholm - Vasastan,2302.0,4800000kr,Såld 19 februari 2015,0,475084,Drottninggatan,Stockholms kommun
67,"Drottninggatan 73 A, 4 tr","Vasastan - City/Norrmalm,",66 sqm,2,Fastighetsbyrån Stockholm - Vasastan,1458.0,5800000kr,Såld 30 januari 2015,16,475084,Drottninggatan,Stockholms kommun
68,"Drottninggatan 80, 2tr","Norrmalm Vasastan,",99 sqm,3,HusmanHagberg Vasastan,4024.0,7128000kr,Såld  9 januari 2015,0,475084,Drottninggatan,Stockholms kommun
69,"Drottninggatan 101, 2tr","Vasastan/Norrmalm/City,",46 sqm,2,Notar,460.0,3800000kr,Såld 16 november 2014,-4,475084,Drottninggatan,Stockholms kommun
70,Drottninggatan 102 B,"Vasastan - City/Norrmalm,",48 sqm,2,Fastighetsbyrån Stockholm - Vasastan,1945.0,3400000kr,Såld  8 november 2014,-3,475084,Drottninggatan,Stockholms kommun
71,"Drottninggatan 90 B, 2 tr","City - Norrmalm,",41 sqm,1,Bostadsrättsspecialisten,440.0,4000000kr,Såld 23 september 2014,16,475084,Drottninggatan,Stockholms kommun
72,"Drottninggatan 112 C, 1tr.","Vasastan - City/Norrmalm,",68 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2468.0,4575000kr,Såld 13 augusti 2014,7,475084,Drottninggatan,Stockholms kommun
73,"Drottninggatan 102 B, 3tr","Vasastan - City/Norrmalm,",52 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2111.0,4320000kr,Såld 23 juli 2014,8,475084,Drottninggatan,Stockholms kommun
74,Drottninggatan 90A,"Vasastan - City/Norrmalm,",64 sqm,2,Fastighetsbyrån Stockholm - Vasastan,712.0,6700000kr,Såld 11 juni 2014,34,475084,Drottninggatan,Stockholms kommun
75,Drottninggatan 90A,"Vasastan - City/Norrmalm,",45 sqm,"1,5",Fastighetsbyrån Stockholm - Vasastan,475.0,3800000kr,Såld 30 maj 2014,7,475084,Drottninggatan,Stockholms kommun
76,Drottninggatan 80,"Norrmalm,",45 sqm,2,BOSTHLM Fastighetsmäklare AB,2259.0,3740000kr,Såld 14 maj 2014,14,475084,Drottninggatan,Stockholms kommun
77,"Drottninggatan 81 B, 4 tr","Vasastan,",44 sqm,1,SkandiaMäklarna Stockholm Vasastan,1233.0,3000000kr,Såld 30 april 2014,9,475084,Drottninggatan,Stockholms kommun
78,"Drottninggatan 101, 4tr","Vasastan / Observatorielunden,",46 sqm,2,Vasastansmäklarna,1315.0,3570000kr,Såld  3 april 2014,12,475084,Drottninggatan,Stockholms kommun
79,"Drottninggatan 112 B, 2 tr","Norrmalm - City,",65 sqm,2,Mäklarhuset Stockholm Innerstan,2218.0,4210000kr,Såld  2 april 2014,6,475084,Drottninggatan,Stockholms kommun
80,"Drottninggatan 112 B, 2 tr","City Norrmalm Vasastan,",57 sqm,2,HusmanHagberg Vasastan,1952.0,3650000kr,Såld 12 mars 2014,4,475084,Drottninggatan,Stockholms kommun
81,"Drottninggatan 81 B, 2 tr","Vasastan/City,","40,5 sqm","1,5",Notar,1249.0,2900000kr,Såld 11 februari 2014,9,475084,Drottninggatan,Stockholms kommun
82,"Drottninggatan 102 B, 3tr","Vasastan - City/Norrmalm,",56 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2413.0,4280000kr,Såld 21 januari 2014,7,475084,Drottninggatan,Stockholms kommun
83,"Drottninggatan 112 C, 1 tr","City,",69 sqm,2,Erik Olsson Fastighetsförmedling,2350.0,4160000kr,Såld  4 december 2013,4,475084,Drottninggatan,Stockholms kommun
84,Drottninggatan 90B,"Vasastan - City/Norrmalm,",70 sqm,2,Fastighetsbyrån Stockholm - Vasastan,719.0,5650000kr,Såld  4 december 2013,9,475084,Drottninggatan,Stockholms kommun
85,Drottninggatan 88 F,"Vasastan - City/Norrmalm,",71 sqm,3,Fastighetsbyrån Stockholm - Vasastan,3984.0,4850000kr,Såld 20 november 2013,21,475084,Drottninggatan,Stockholms kommun
86,"Drottninggatan 73 A, 2 tr","City / Norrmalm,",66 sqm,2,Erik Olsson Fastighetsförmedling,1458.0,5150000kr,Såld 16 oktober 2013,4,475084,Drottninggatan,Stockholms kommun
87,Drottninggatan 110,"Vasastan/Norrmalm/City,",51 sqm,2,Notar,1297.0,4000000kr,Såld 15 oktober 2013,15,475084,Drottninggatan,Stockholms kommun
88,Drottninggatan 90B,"Vasastan - City/Norrmalm,",41 sqm,1,Fastighetsbyrån Stockholm - Vasastan,440.0,3215000kr,Såld  2 oktober 2013,7,475084,Drottninggatan,Stockholms kommun
89,"Drottninggatan 73 E, 2 tr ög","Vasastan/City,",84 sqm,2,Svenska Mäklarhuset Vasastan,560.0,5400000kr,Såld  3 juli 2013,9,475084,Drottninggatan,Stockholms kommun
90,"Drottninggatan 73A, 4 tr- SÅLD!","City - Norrmalm,",92 sqm,3,Innerstadsspecialisten Stockholm AB,2013.0,6725000kr,Såld  8 april 2013,4,475084,Drottninggatan,Stockholms kommun
91,"Drottninggatan 101, 4tr","Vasastan/Odenplan,","46,5 sqm",2,Länsförsäkringar Fastighetsförmedling Stockholm - Vasastan,1086.0,3410000kr,Såld 14 mars 2013,18,475084,Drottninggatan,Stockholms kommun
92,"Drottninggatan 80, 3 tr","Vasastan - City/Norrmalm,",44 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2647.0,3250000kr,Såld 22 januari 2013,5,475084,Drottninggatan,Stockholms kommun
93,"Klara Västra Kyrkogata 17, 17tr","Vasastan/Norrmalm,",56 sqm,2,Edward & Partners Fastighetsmäklare AB,4519.0,11200000kr,Såld 22 november 2019,-3,475086,Klara Västra Kyrkogata,Stockholms kommun
94,"Klara Västra Kyrkogata 17, 18 tr","Norrmalm,",36 sqm,1,Skeppsholmen Sotheby's International Realty,3061.0,5800000kr,Såld 12 december 2018,-3,475086,Klara Västra Kyrkogata,Stockholms kommun
95,Klara Västra Kyrkogata 17,"City,",36 sqm,1,Fastighetsmäklarna,3061.0,6500000kr,Såld  6 februari 2018,0,475086,Klara Västra Kyrkogata,Stockholms kommun
96,"Klara Norra Kyrkogata 32, 2tr.","Vasastan - City/Norrmalm,",46 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2352.0,4050000kr,Såld  7 maj 2019,8,475090,Klara Norra Kyrkogata,Stockholms kommun
97,"Klara Norra Kyrkogata 17, 2 tr","City Norrmalm Vasastan,",48 sqm,2,HusmanHagberg Vasastan,3661.0,3300000kr,Såld  4 oktober 2017,5,475090,Klara Norra Kyrkogata,Stockholms kommun
98,"Klara Norra Kyrkogata 17, 1 tr",,107 sqm,4,Mäklarhuset Stockholm Innerstan,6713.0,7650000kr,Såld 18 maj 2017,10,475090,Klara Norra Kyrkogata,Stockholms kommun
99,"Klara Norra Kyrkogata 17, 1 tr","Vasastan- City/ Norrmalm,",107 sqm,4,Mäklarhuset Stockholm Innerstan,6713.0,6800000kr,Såld  2 december 2016,5,475090,Klara Norra Kyrkogata,Stockholms kommun
100,Klara Norra Kyrkogata 32,"Vasastan/Norrmalm,",45 sqm,2,Erik Olsson Fastighetsförmedling,2067.0,4300000kr,Såld  6 oktober 2016,20,475090,Klara Norra Kyrkogata,Stockholms kommun
101,Klara Norra Kyrkogata 32,"Norrmalm,",44 sqm,2,ERA Bostad Sthlm,2021.0,3595000kr,Såld 13 december 2014,0,475090,Klara Norra Kyrkogata,Stockholms kommun
102,"Klara Norra Kyrkogata 15, 1tr","Vasastan - City/Norrmalm,",101 sqm,4,Fastighetsbyrån Stockholm - Vasastan,3563.0,6300000kr,Såld 11 oktober 2013,5,475090,Klara Norra Kyrkogata,Stockholms kommun
103,Kungsgatan 86,"Kungsholmen - Rådhuset,",34 sqm,1,Bjurfors Vasastan Kungsholmen,1903.0,3415000kr,Såld  9 juli 2020,20,475094,Kungsgatan,Stockholms kommun
104,"Kungsgatan 86, 2 tr","Kungsholmen,",68 sqm,3,Widerlöv Stockholm,3215.0,6925000kr,Såld 13 juni 2020,11,475094,Kungsgatan,Stockholms kommun
105,Kungsgatan 86,"Rådhuset,",68 sqm,2,Eklund Stockholm New York,3511.0,6950000kr,Såld 29 maj 2020,7,475094,Kungsgatan,Stockholms kommun
106,Kungsgatan 80 A,"Kungsholmen/Kungsholmstorg,",42 sqm,"1,5",Fastighetsbyrån Stockholm - Kungsholmen,1485.0,3900000kr,Såld 13 maj 2020,4,475094,Kungsgatan,Stockholms kommun
107,"Kungsgatan 80A, ÖG","Rådhuset,",65 sqm,2,Eklund Stockholm New York,2042.0,6700000kr,Såld 10 mars 2020,12,475094,Kungsgatan,Stockholms kommun
108,Kungsgatan 51,"Östermalm,",92 sqm,3,Lagerlings,2668.0,9200000kr,Såld  7 februari 2020,2,475094,Kungsgatan,Stockholms kommun
109,"Kungsgatan 79, 3 tr","Kungsholmen,",115 sqm,4,Oscars Fastighetsmäkleri,1935.0,12600000kr,Såld  1 oktober 2019,29,475094,Kungsgatan,Stockholms kommun
110,"Kungsgatan 51, 3tr","Vasastan City / Norrmalm,",110 sqm,3,Notar,3128.0,10000000kr,Såld 25 september 2019,5,475094,Kungsgatan,Stockholms kommun
111,Kungsgatan 82,"Kungsholmen,",96 sqm,3,Fastighetsbyrån Stockholm - Kungsholmen,2232.0,8550000kr,Såld 22 september 2019,7,475094,Kungsgatan,Stockholms kommun
112,Kungsgatan 86,"Kungsholmen,",68 sqm,2,Fastighetsbyrån Stockholm - Kungsholmen,3137.0,6720000kr,Såld 11 september 2019,5,475094,Kungsgatan,Stockholms kommun
113,"Kungsgatan 78, 5 tr","Kungsholmen,",105 sqm,3,Mäklarhuset Stockholm Innerstan,2970.0,8500000kr,Såld 10 maj 2019,-3,475094,Kungsgatan,Stockholms kommun
114,"Kungsgatan 90, 5 tr","Kungsholmen Nedre,",69 sqm,3,HusmanHagberg Kungsholmen,3157.0,5850000kr,Såld 19 december 2018,0,475094,Kungsgatan,Stockholms kommun
115,Kungsgatan 86,"Kungsholmen,",34 sqm,2,Nestor Fastighetsmäkleri,1568.0,3600000kr,Såld 29 november 2018,13,475094,Kungsgatan,Stockholms kommun
116,"Kungsgatan 90, 5tr","Kungsholmen,",57 sqm,"2,5",Notar,2636.0,5220000kr,Såld  2 november 2018,31,475094,Kungsgatan,Stockholms kommun
117,Kungsgatan 51,"Norrmalm,",70 sqm,1,Eklund Stockholm New York,2009.0,6300000kr,Såld 23 augusti 2018,-3,475094,Kungsgatan,Stockholms kommun
118,"Kungsgatan 86, 4 tr","Kungsholmen,",81 sqm,3,Svenska Mäklarhuset Kungsholmen,3941.0,7760000kr,Såld 29 mars 2018,7,475094,Kungsgatan,Stockholms kommun
119,"Kungsgatan 86, 3 tr","Kungsholmen,",97 sqm,4,Vision Mäkleri AB,4407.0,9200000kr,Såld 23 februari 2018,15,475094,Kungsgatan,Stockholms kommun
120,"Kungsgatan 82A, 1 tr","Kungsholmen Nedre,",30 sqm,1,HusmanHagberg Kungsholmen,691.0,3100000kr,Såld 15 februari 2018,15,475094,Kungsgatan,Stockholms kommun
121,Kungsgatan 51,"City / Norrmalm,",20 sqm,1,Notar,403.0,3125000kr,Såld 21 september 2017,45,475094,Kungsgatan,Stockholms kommun
122,"Kungsgatan 86, 3 tr","Kungsholmen,",68 sqm,2,Vision Mäkleri AB,3102.0,6350000kr,Såld 15 september 2017,10,475094,Kungsgatan,Stockholms kommun
123,"Kungsgatan 86, 2 tr","Kungsholmen,",68 sqm,3,SkandiaMäklarna Stockholm Kungsholmen,3060.0,7030000kr,Såld 17 maj 2017,22,475094,Kungsgatan,Stockholms kommun
124,Kungsgatan 80A,"Kungsholmen,",74 sqm,2,Fastighetsbyrån Stockholm - Kungsholmen,2351.0,7200000kr,Såld 16 maj 2017,6,475094,Kungsgatan,Stockholms kommun
125,Kungsgatan 78,"Nedre Kungsholmen,",41 sqm,2,ERA Bostad Sthlm,1588.0,4700000kr,Såld  7 maj 2017,18,475094,Kungsgatan,Stockholms kommun
126,"Kungsgatan 78, 2tr","Kungsholmen,",114 sqm,"3,5",Notar,3382.0,10500000kr,Såld  5 april 2017,11,475094,Kungsgatan,Stockholms kommun
127,"Kungsgatan 90, 4 tr","Kungsholmen,",119 sqm,4,Erik Olsson Fastighetsförmedling,5138.0,10700000kr,Såld  5 december 2016,9,475094,Kungsgatan,Stockholms kommun
128,"Kungsgatan 80, vån 2","Kungsholmen Nedre,",86 sqm,3,HusmanHagberg Kungsholmen,2805.0,7400000kr,Såld  6 oktober 2016,6,475094,Kungsgatan,Stockholms kommun
129,Kungsgatan 80 A,"Stockholm,",42 sqm,"1,5",Svensk Fastighetsförmedling Sthlm Kungsholmen,1650.0,4075000kr,Såld 10 augusti 2016,9,475094,Kungsgatan,Stockholms kommun
130,"Kungsgatan 80A, 1 tr","Kungsholmen,",65 sqm,2,Notar,2269.0,6500000kr,Såld 20 maj 2016,13,475094,Kungsgatan,Stockholms kommun
131,"Kungsgatan 82A, ö g","Kungsholmen Nedre,",30 sqm,1,HusmanHagberg Kungsholmen,691.0,3000000kr,Såld 24 april 2016,7,475094,Kungsgatan,Stockholms kommun
132,Kungsgatan 86,"Kungsholmen,",34 sqm,1,ERA Bostad Sthlm,1784.0,3250000kr,Såld 20 april 2016,0,475094,Kungsgatan,Stockholms kommun
133,"Kungsgatan 73, 2 tr",,48 sqm,2,Mäklarhuset Stockholm Innerstan,2400.0,4525000kr,Såld 23 oktober 2015,19,475094,Kungsgatan,Stockholms kommun
134,"Kungsgatan 80, 2 tr","Kungsholmen,",86 sqm,3,Mäklarhuset Stockholm Innerstan,2805.0,7600000kr,Såld  8 oktober 2015,17,475094,Kungsgatan,Stockholms kommun
135,"Kungsgatan 80, 2 tr, Ö G","Kungsholmen,",74 sqm,2,Karlsson & Uddare AB,2351.0,6270000kr,Såld 30 juli 2015,0,475094,Kungsgatan,Stockholms kommun
136,"Kungsgatan 51, 4 tr","Vasastan - City/Norrmalm,",117 sqm,3,Fastighetsbyrån Stockholm - Vasastan,3359.0,9200000kr,Såld 25 juni 2015,15,475094,Kungsgatan,Stockholms kommun
137,Kungsgatan 51,"Vasastan - City/Norrmalm,",22 sqm,1,Wallenberg Fastighetsförmedling,630.0,3000000kr,Såld 19 maj 2015,50,475094,Kungsgatan,Stockholms kommun
138,"Kungsgatan 90, 5 tr","Kungsholmen,",58 sqm,2,SkandiaMäklarna Stockholm Kungsholmen,2770.0,4415000kr,Såld 12 december 2014,11,475094,Kungsgatan,Stockholms kommun
